1759276800000000,2.84680000,2.85200000,2.84620000,2.84760000,592862.70000000,1759277699999999,1689372.17040000,7067,270176.70000000,769782.32890000,0
1759277700000000,2.84760000,2.84760000,2.83780000,2.83830000,427347.00000000,1759278599999999,1214593.51973000,6214,201911.80000000,573786.53690000,0
1759278600000000,2.83820000,2.83940000,2.83050000,2.83140000,863610.20000000,1759279499999999,2448992.49656000,7488,348450.90000000,987953.69925000,0
1759279500000000,2.83150000,2.83990000,2.82760000,2.83830000,677539.80000000,1759280399999999,1918784.05845000,10725,347442.80000000,983953.83845000,0
1759280400000000,2.83830000,2.84540000,2.83570000,2.84410000,699632.80000000,1759281299999999,1987259.13153000,8235,340858.50000000,968132.95551000,0
1759281300000000,2.84410000,2.84690000,2.83680000,2.84560000,738603.30000000,1759282199999999,2099566.39204000,12152,343870.70000000,977317.30832000,0
1759282200000000,2.84560000,2.85020000,2.83620000,2.84830000,520788.20000000,1759283099999999,1480819.97599000,9254,291031.60000000,827744.14995000,0
1759283100000000,2.84840000,2.85970000,2.84680000,2.85820000,1192122.30000000,1759283999999999,3400942.55314000,12139,658325.20000000,1877514.76654000,0
1759284000000000,2.85810000,2.85860000,2.84850000,2.84880000,706695.20000000,1759284899999999,2016245.71353000,12159,371828.30000000,1060756.31229000,0
1759284900000000,2.84880000,2.85140000,2.84730000,2.84830000,282176.00000000,1759285799999999,803973.70665000,7442,114789.30000000,327028.28042000,0
1759285800000000,2.84840000,2.84840000,2.84030000,2.84070000,568179.60000000,1759286699999999,1615288.96496000,7801,232822.50000000,661938.22489000,0
1759286700000000,2.84060000,2.84330000,2.84000000,2.84190000,353515.60000000,1759287599999999,1004581.71873000,6272,132918.80000000,377666.06228000,0
1759287600000000,2.84190000,2.84260000,2.83770000,2.83870000,367833.90000000,1759288499999999,1044524.30149000,7226,185054.10000000,525446.43750000,0
1759288500000000,2.83860000,2.83880000,2.82500000,2.82660000,1258483.80000000,1759289399999999,3561957.03841000,13585,647833.50000000,1833057.73330000,0
1759289400000000,2.82660000,2.83010000,2.82230000,2.82260000,586054.90000000,1759290299999999,1656401.13800000,8112,212772.40000000,601422.37019000,0
1759290300000000,2.82250000,2.82260000,2.81410000,2.81900000,1064525.40000000,1759291199999999,3000317.01149000,12129,528890.40000000,1490528.47899000,0
1759291200000000,2.81910000,2.83770000,2.81630000,2.82980000,1769475.20000000,1759292099999999,5007894.52632000,14220,1014782.50000000,2871733.73794000,0
1759292100000000,2.82980000,2.83960000,2.82960000,2.83800000,894651.70000000,1759292999999999,2536714.92556000,8697,582997.80000000,1652877.52373000,0
1759293000000000,2.83800000,2.84560000,2.83770000,2.83950000,1083596.00000000,1759293899999999,3078940.62187000,11534,568393.00000000,1614962.51816000,0
1759293900000000,2.83950000,2.84470000,2.83420000,2.83620000,1076528.00000000,1759294799999999,3056433.93132000,9691,556635.30000000,1580197.14076000,0
1759294800000000,2.83630000,2.85410000,2.83470000,2.84970000,1309835.40000000,1759295699999999,3726241.66568000,10406,821895.50000000,2337956.92984000,0
1759295700000000,2.84970000,2.85120000,2.84050000,2.84430000,1070821.90000000,1759296599999999,3047498.88724000,9971,576840.80000000,1641829.92394000,0
1759296600000000,2.84420000,2.85100000,2.84180000,2.84560000,875932.50000000,1759297499999999,2493583.44787000,8965,426876.10000000,1215070.00106000,0
1759297500000000,2.84570000,2.84870000,2.84370000,2.84570000,772580.50000000,1759298399999999,2199122.14586000,7420,471023.60000000,1340737.01776000,0
1759298400000000,2.84560000,2.84970000,2.84350000,2.84440000,874809.50000000,1759299299999999,2489819.11929000,9361,362148.40000000,1030653.00302000,0
1759299300000000,2.84440000,2.84680000,2.83460000,2.84020000,1253741.50000000,1759300199999999,3561070.33758000,11097,828815.00000000,2353887.77844000,0
1759300200000000,2.84010000,2.84570000,2.83820000,2.84200000,832981.60000000,1759301099999999,2366690.99421000,9503,424883.10000000,1207105.46578000,0
1759301100000000,2.84210000,2.84230000,2.83090000,2.83210000,1036787.80000000,1759301999999999,2938186.50254000,10866,513241.50000000,1454289.65709000,0
1759302000000000,2.83200000,2.83940000,2.83100000,2.83850000,800321.60000000,1759302899999999,2269224.15227000,9672,522986.90000000,1482823.02752000,0
1759302900000000,2.83850000,2.84500000,2.83850000,2.84390000,790679.10000000,1759303799999999,2247138.01783000,10789,452052.50000000,1284615.68028000,0
1759303800000000,2.84390000,2.85740000,2.84330000,2.85500000,2345767.00000000,1759304699999999,6689465.24769000,16998,1508229.80000000,4300334.08020000,0
1759304700000000,2.85500000,2.85660000,2.85150000,2.85400000,641399.00000000,1759305599999999,1830826.11716000,6511,366056.20000000,1044873.78682000,0
1759305600000000,2.85390000,2.86360000,2.85170000,2.86180000,1483851.30000000,1759306499999999,4241370.79508000,11527,1004774.80000000,2871764.31479000,0
1759306500000000,2.86190000,2.87230000,2.85880000,2.87160000,2150741.90000000,1759307399999999,6162116.64369000,20837,1275940.30000000,3655883.79407000,0
1759307400000000,2.87160000,2.90550000,2.87150000,2.90460000,4948620.70000000,1759308299999999,14296383.17607000,41562,3307139.50000000,9554036.61566000,0
1759308300000000,2.90450000,2.92190000,2.90100000,2.91690000,6963079.50000000,1759309199999999,20280645.26089000,60057,3821809.20000000,11131802.55633000,0
1759309200000000,2.91690000,2.92000000,2.90740000,2.91460000,4094983.80000000,1759310099999999,11928721.94525000,24620,1696037.40000000,4941286.28201000,0
1759310100000000,2.91460000,2.93070000,2.91460000,2.92860000,5635603.60000000,1759310999999999,16475071.94716000,28303,3174148.70000000,9277680.74986000,0
1759311000000000,2.92870000,2.94240000,2.92380000,2.94130000,2692548.10000000,1759311899999999,7899551.32296000,22751,1588886.60000000,4661916.33402000,0
1759311900000000,2.94130000,2.95200000,2.93840000,2.94120000,4840981.00000000,1759312799999999,14260512.29073000,27183,2648552.80000000,7805296.12918000,0
1759312800000000,2.94120000,2.94190000,2.91930000,2.92050000,3603662.20000000,1759313699999999,10555699.37824000,26688,1422117.80000000,4164784.22967000,0
1759313700000000,2.92050000,2.93400000,2.91970000,2.92730000,3242672.50000000,1759314599999999,9495841.08296000,20455,1140293.20000000,3339222.01209000,0
1759314600000000,2.92720000,2.93200000,2.92520000,2.93200000,1372902.60000000,1759315499999999,4021826.07664000,14287,558438.80000000,1635846.28707000,0
1759315500000000,2.93200000,2.94030000,2.92680000,2.92990000,1292091.60000000,1759316399999999,3791735.37907000,14413,526540.80000000,1545404.15539000,0
1759316400000000,2.92980000,2.93950000,2.92950000,2.93750000,1304733.00000000,1759317299999999,3830085.94548000,14873,657536.10000000,1930027.70473000,0
1759317300000000,2.93750000,2.94280000,2.93530000,2.93860000,1040219.50000000,1759318199999999,3057349.68683000,10758,531735.70000000,1562675.62611000,0
1759318200000000,2.93870000,2.94350000,2.93570000,2.94050000,1291270.30000000,1759319099999999,3797758.49456000,12673,534651.40000000,1572452.00488000,0
1759319100000000,2.94050000,2.94580000,2.93880000,2.94390000,964631.60000000,1759319999999999,2837993.52554000,8746,555411.90000000,1633984.81401000,0
1759320000000000,2.94390000,2.94540000,2.92780000,2.93240000,1943093.20000000,1759320899999999,5700517.31124000,16267,1063928.40000000,3121220.65041000,0
1759320900000000,2.93230000,2.94260000,2.92690000,2.93990000,2272164.80000000,1759321799999999,6669195.43326000,22301,1174009.90000000,3446679.39881000,0
1759321800000000,2.94000000,2.94350000,2.93370000,2.93930000,1714545.30000000,1759322699999999,5038203.41657000,12543,903263.90000000,2653950.69661000,0
1759322700000000,2.93920000,2.94200000,2.93240000,2.93630000,1872715.90000000,1759323599999999,5500223.73635000,11305,847569.70000000,2489299.08891000,0
1759323600000000,2.93630000,2.95370000,2.93630000,2.94730000,3422409.20000000,1759324499999999,10086403.52874000,23260,2168001.10000000,6389089.48126000,0
1759324500000000,2.94730000,2.95500000,2.94240000,2.94530000,2620044.70000000,1759325399999999,7723482.40178000,18605,1572217.40000000,4634719.74992000,0
1759325400000000,2.94540000,2.94990000,2.93840000,2.94270000,2067412.20000000,1759326299999999,6085228.66767000,27820,1106512.30000000,3256935.52890000,0
1759326300000000,2.94260000,2.94640000,2.93360000,2.93840000,2359089.50000000,1759327199999999,6935222.39775000,23406,1405254.00000000,4131657.51220000,0
1759327200000000,2.93840000,2.94700000,2.93150000,2.94620000,2100825.20000000,1759328099999999,6177764.06958000,26262,1284034.80000000,3776696.33747000,0
1759328100000000,2.94620000,2.94960000,2.94230000,2.94540000,907897.10000000,1759328999999999,2675482.92107000,12494,490085.80000000,1444345.03335000,0
1759329000000000,2.94540000,2.95820000,2.94380000,2.95140000,1981864.00000000,1759329899999999,5852883.88307000,16944,1040772.30000000,3073610.04545000,0
1759329900000000,2.95150000,2.95150000,2.93620000,2.94280000,2707415.50000000,1759330799999999,7961685.70064000,22415,1046940.20000000,3078926.07458000,0
1759330800000000,2.94290000,2.94630000,2.93320000,2.93610000,1250916.80000000,1759331699999999,3676929.44053000,18666,425005.50000000,1248851.02851000,0
1759331700000000,2.93600000,2.94630000,2.93600000,2.94380000,857264.00000000,1759332599999999,2521458.13258000,11892,494950.30000000,1455708.75358000,0
1759332600000000,2.94390000,2.94560000,2.93910000,2.94430000,1035158.60000000,1759333499999999,3046887.77599000,12569,452898.60000000,1332980.76569000,0
1759333500000000,2.94430000,2.94650000,2.93560000,2.94190000,1394263.90000000,1759334399999999,4099382.41191000,11089,755418.90000000,2221373.61992000,0
