Open_time,Close,RSI_Scaled,MACD_Scaled,BB_Scaled,OBV_Scaled
57886-10-25 22:00:00,2.0298,-0.31946403385049466,-1.0,-0.39848224259832643,-1.0
57886-11-05 08:00:00,2.0273,-0.4181818181818201,-1.0,-0.4099361873740323,-1.0
57886-11-15 18:00:00,2.0321,-0.3470764617691178,-0.9593456750479007,-0.32472752396258153,-1.0
57886-11-26 04:00:00,2.02,-0.40981432360743014,-1.0,-0.42276249346372285,-1.0
57886-12-06 14:00:00,2.0282,-0.29892761394102124,-0.8068611404910824,-0.2925715789637052,-0.941888718517528
57886-12-17 00:00:00,2.0366,-0.20491803278688792,-0.36797693408673815,-0.1735784159929336,-0.5056403767478311
57886-12-27 10:00:00,2.0337,-0.1953125000000011,-0.1149721411433391,-0.1881945779048198,-0.7501732301617141
57887-01-06 20:00:00,2.0447,-0.07213930348258546,0.36765025856174105,-0.02981028830515725,-0.29307240542164664
57887-01-17 06:00:00,2.0474,-0.028589580686148475,0.7529587386991858,0.030479996948464372,0.4229295930275942
57887-01-27 16:00:00,2.0405,-0.07806912991656634,0.8036588978670232,-0.04785681232111405,0.289650526988573
57887-02-07 02:00:00,2.0428,-0.04303030303030275,0.883393476546064,0.01999266224364471,0.9099799326303423
57887-02-17 12:00:00,2.0511,0.08524173027989856,1.0,0.22661478809646007,1.0
57887-02-27 22:00:00,2.0568,0.13357843137254943,1.0,0.38265023883319826,1.0
57887-03-10 08:00:00,2.0522,0.09837019790454193,1.0,0.2869325302034105,1.0
57887-03-20 18:00:00,2.0527,0.1415327564894966,1.0,0.29665980338304143,1.0
57887-03-31 04:00:00,2.0551,0.1720297029702994,1.0,0.34905859236735604,1.0
57887-04-10 14:00:00,2.0571,0.1602564102564138,1.0,0.3719958584980251,1.0
57887-04-21 00:00:00,2.0483,0.18942436412315766,1.0,0.1575941839020606,1.0
57887-05-01 10:00:00,2.0461,0.1302765647743821,0.7094817883673176,0.09574600389140298,1.0
57887-05-11 20:00:00,2.0536,0.12536873156342176,0.6957200410886611,0.2414918613477215,1.0
57887-05-22 06:00:00,2.0462,0.08644536652835244,0.44785701532878064,0.05980028978448371,0.7852404885270612
57887-06-01 16:00:00,2.0386,-0.0442670537010163,0.05916210285876878,-0.13779916479748427,0.4768746937242607
57887-06-12 02:00:00,2.0409,-0.04744525547445266,-0.12042619639938927,-0.09540956587462368,0.5884690000251326
57887-06-22 12:00:00,2.0407,0.0016181229773460926,-0.2294732027654755,-0.15603479363800288,0.33902600456382714
57887-07-02 22:00:00,2.0422,-0.004918032786888515,-0.24017166604187,-0.15133002769995896,0.3700774909950832
57887-07-13 08:00:00,2.039,-0.10822898032200362,-0.32088730806228405,-0.27844102438890195,-0.02021019456063868
57887-07-23 18:00:00,2.0432,-0.125000000000001,-0.2311000150846422,-0.1547610948632735,0.07451119718221764
57887-08-03 04:00:00,2.0398,-0.11654135338346044,-0.2541429033144015,-0.2759097850929368,-0.36385801254390626
57887-08-13 14:00:00,2.034,-0.1598290598290656,-0.4145100145198648,-0.43797985450211413,-1.0
57887-08-24 00:00:00,2.0318,-0.199828473413381,-0.5492978505388909,-0.46081477377002134,-1.0
57887-09-03 10:00:00,2.0262,-0.24959612277868148,-0.7568359310750841,-0.5370009234524427,-1.0
57887-09-13 20:00:00,2.0191,-0.24252491694352601,-1.0,-0.5882424403279674,-1.0
57887-09-24 06:00:00,2.0279,-0.13622754491018363,-0.8998062819688835,-0.337444268771271,-0.8465189658107422
57887-10-04 16:00:00,2.0239,-0.2345971563981084,-0.8650496979890605,-0.38458817030910564,-1.0
57887-10-15 02:00:00,2.0201,-0.2185929648241245,-0.8908904913063928,-0.4163782941742074,-1.0
57887-10-25 12:00:00,2.016,-0.20106761565836762,-0.9600530986277691,-0.4486716511046433,-1.0
57887-11-04 22:00:00,2.0202,-0.17814113597246517,-0.8121091686380117,-0.33186333175798066,-1.0
57887-11-15 08:00:00,2.0217,-0.15993265993266303,-0.6115888010973037,-0.27033634212572055,-0.7959635403630927
57887-11-25 18:00:00,2.0305,-0.087706146926536,-0.1770154536954437,-0.05389146137494705,-0.31568296917570654
57887-12-06 04:00:00,2.0319,-0.05469953775038805,0.1687982918361078,0.005467721307288342,1.0
57887-12-16 14:00:00,2.0314,-0.09640522875817104,0.3856986359591873,0.012743555483517799,0.5201855846304563
57887-12-27 00:00:00,2.0162,-0.16164383561643986,0.08532901882707965,-0.3735452819251731,0.028779187485683186
57888-01-06 10:00:00,2.0072,-0.17585301837270334,-0.3449047078259879,-0.5216525058359878,-0.6775370426145599
57888-01-16 20:00:00,1.9874,-0.23667377398720818,-1.0,-0.7250655074343859,-1.0
57888-01-27 06:00:00,2.0073,-0.0874190564292327,-0.9859227818598216,-0.31344557256217853,-1.0
57888-02-06 16:00:00,1.993,-0.11318300086730299,-1.0,-0.49799181438100887,-1.0
57888-02-17 02:00:00,1.9949,-0.1522140221402229,-1.0,-0.4163399445835494,-0.9084957643287948
57888-02-27 12:00:00,1.9965,-0.12924528301886878,-1.0,-0.3521594723613115,-0.28429719564153727
57888-03-08 22:00:00,1.9911,-0.13475836431226795,-1.0,-0.39487651406124147,-0.6020624414929648
57888-03-19 08:00:00,1.993,-0.10910815939279017,-0.8788485860232519,-0.3266765257239985,0.009645824422007405
